t_id	chr	strand	start	end	t_name	num_exons	length	UniProt_id	gene_name	cov	FPKM
1	3R	-	722370	722621	FBtr0114258	1	252	*	CR41571	0.000000	0.000000
2	3R	+	835381	2503907	FBtr0346770	20	6213	*	CG45784	0.000000	0.000000
3	3R	+	1031171	1031354	FBtr0302440	1	184	*	CR12798	0.000000	0.000000
4	3R	-	2156916	2157206	FBtr0302347	1	291	*	CR40182	16.388315	23.712564
5	3R	-	2554124	3263573	FBtr0346769	19	6420	*	CG45783	0.000000	0.000000
6	3R	-	2744304	2744800	FBtr0345282	2	438	*	CR45220	0.000000	0.000000
7	3R	-	2744305	2744800	FBtr0345281	1	496	*	CR45220	0.000000	0.000000
8	3R	+	3322810	3354486	FBtr0300207	2	1767	*	spok	0.000000	0.000000
9	3R	-	3461351	3587054	FBtr0113885	6	3112	P35875	Parp	7.600407	10.997173
10	3R	+	3623143	3627690	FBtr0301810	3	1290	*	Alg-2	13.178294	19.067924
11	3R	+	3734855	3745306	FBtr0113895	3	961	*	Tim17b	4.364941	6.315716
12	3R	+	3734929	3745306	FBtr0345179	3	887	*	Tim17b	82.468964	119.325905
13	3R	+	3750363	3752353	FBtr0301812	2	364	*	CG41128	4.437705	6.421000
14	3R	+	3846729	3867684	FBtr0113990	7	3594	*	CG41099	18.611586	26.929455
15	3R	+	3846729	3867684	FBtr0113991	8	3669	*	CG41099	0.000000	0.000000
16	3R	+	3846729	3867980	FBtr0344573	7	3869	*	CG41099	0.000000	0.000000
17	3R	+	3846729	3868401	FBtr0113989	7	4294	*	CG41099	6.050711	8.754889
18	3R	+	4077939	4104326	FBtr0336454	12	4915	*	CG42402	0.000000	0.000000
19	3R	+	4077939	4104326	FBtr0339974	11	4654	*	CG42402	0.000000	0.000000
20	3R	+	4084036	4104326	FBtr0301942	11	4016	*	CG42402	0.000000	0.000000
21	3R	+	4126442	4137882	FBtr0113694	8	2601	*	Gfat1	0.000000	0.000000
22	3R	+	4126442	4137882	FBtr0302850	9	2628	*	Gfat1	0.000000	0.000000
23	3R	+	4130521	4137882	FBtr0113687	9	2426	*	Gfat1	0.000000	0.000000
24	3R	+	4130521	4137882	FBtr0113690	9	2290	*	Gfat1	0.000000	0.000000
25	3R	+	4130521	4137882	FBtr0113692	8	2363	*	Gfat1	0.000000	0.000000
26	3R	+	4130521	4137882	FBtr0302846	10	2538	*	Gfat1	0.000000	0.000000
27	3R	+	4130521	4137882	FBtr0302847	5	3726	*	Gfat1	0.000000	0.000000
