t_id	chr	strand	start	end	t_name	num_exons	length	UniProt_id	gene_name	cov	FPKM
9	3R	-	3461351	3587054	FBtr0113885	6	3112	P35875	Parp	7.600407	10.997173
36	3R	-	4189692	4190260	FBtr0078989	1	569	P09040	Dsk	0.000000	0.000000
50	3R	-	4227387	4229238	FBtr0078986	5	1590	Q9VMY9	DhpD	0.000000	0.000000
52	3R	+	4233047	4235041	FBtr0078967	1	1995	Q9V3C0	abs	15.495739	22.421080
53	3R	+	4235217	4241057	FBtr0078968	8	2836	Q07171	Gel	0.000000	0.000000
54	3R	+	4235217	4241057	FBtr0078969	10	2940	Q07171	Gel	0.000000	0.000000
55	3R	+	4235217	4241057	FBtr0078973	8	2807	Q07171	Gel	0.000000	0.000000
56	3R	+	4235217	4241057	FBtr0309256	9	2897	Q07171	Gel	0.000000	0.000000
57	3R	+	4235217	4241057	FBtr0336707	7	2584	Q07171	Gel	0.000000	0.000000
58	3R	+	4236788	4241057	FBtr0078971	7	2628	Q07171	Gel	0.000000	0.000000
59	3R	+	4236788	4241057	FBtr0309257	8	2839	Q07171	Gel	0.000000	0.000000
72	3R	+	4256972	4258444	FBtr0078977	6	1158	P82986	Or82a	0.000000	0.000000
77	3R	+	4280221	4301541	FBtr0078897	7	3628	Q8IPM8	cpx	0.000000	0.000000
78	3R	+	4280221	4304604	FBtr0336482	5	9682	Q8IPM8	cpx	0.000000	0.000000
79	3R	+	4280385	4301541	FBtr0078898	7	3577	Q8IPM8	cpx	0.000000	0.000000
80	3R	+	4280385	4301541	FBtr0078899	7	3930	Q8IPM8	cpx	0.000000	0.000000
81	3R	+	4280385	4301541	FBtr0301768	7	5137	Q8IPM8	cpx	0.000000	0.000000
82	3R	+	4280385	4301541	FBtr0301769	7	3538	Q8IPM8	cpx	0.000000	0.000000
83	3R	+	4281705	4301541	FBtr0078900	7	3650	Q8IPM8	cpx	0.000000	0.000000
84	3R	+	4281705	4304604	FBtr0078902	6	2888	Q8IPM8	cpx	0.000000	0.000000
85	3R	+	4281838	4301541	FBtr0113338	7	3649	Q8IPM8	cpx	0.000000	0.000000
86	3R	+	4281838	4301541	FBtr0113340	7	3576	Q8IPM8	cpx	0.000000	0.000000
87	3R	+	4281838	4301541	FBtr0301770	7	3561	Q8IPM8	cpx	0.000000	0.000000
88	3R	+	4282164	4301541	FBtr0113341	7	3634	Q8IPM8	cpx	0.000000	0.000000
89	3R	+	4282164	4301541	FBtr0300789	8	3655	Q8IPM8	cpx	0.000000	0.000000
90	3R	+	4282164	4304604	FBtr0301771	6	8078	Q8IPM8	cpx	0.000000	0.000000
91	3R	+	4282625	4301541	FBtr0078901	6	3541	Q8IPM8	cpx	0.000000	0.000000
92	3R	+	4282625	4301541	FBtr0301772	7	3544	Q8IPM8	cpx	0.000000	0.000000
93	3R	+	4291738	4296962	FBtr0310506	3	2094	Q8IPM8	cpx	0.000000	0.000000
94	3R	+	4291738	4301541	FBtr0100500	5	3682	Q8IPM8	cpx	0.000000	0.000000
95	3R	+	4291738	4301541	FBtr0113337	5	3485	Q8IPM8	cpx	0.000000	0.000000
96	3R	+	4291738	4304604	FBtr0310614	5	3803	Q8IPM8	cpx	0.000000	0.000000
98	3R	+	4294862	4301541	FBtr0100499	5	3233	Q8IPM8	cpx	0.000000	0.000000
101	3R	+	4307908	4309835	FBtr0078903	4	1468	A0A126GUP6	MP1	0.000000	0.000000
102	3R	+	4307908	4309835	FBtr0300936	4	1495	A0A126GUP6	MP1	0.000000	0.000000
104	3R	+	4311555	4314372	FBtr0273009	6	2530	Q9VN03	CG9791	0.000000	0.000000
112	3R	-	4327814	4334071	FBtr0078955	7	4135	Q9V468	CG9776	39.576077	57.263374
113	3R	-	4328057	4331046	FBtr0078956	3	2172	Q9V468	CG9776	0.000000	0.000000
120	3R	+	4359883	4366855	FBtr0332449	5	3813	Q9VN12	CG1090	0.000000	0.000000
121	3R	+	4359883	4366855	FBtr0335201	7	3233	Q9VN12	CG1090	0.000000	0.000000
122	3R	+	4359883	4366855	FBtr0335202	7	2913	Q9VN12	CG1090	0.000000	0.000000
123	3R	+	4359883	4366855	FBtr0335203	7	3446	Q9VN12	CG1090	0.000000	0.000000
125	3R	+	4378600	4381210	FBtr0078913	7	1365	Q9VN13	CG11739	0.000000	0.000000
126	3R	+	4378600	4381210	FBtr0078914	7	1645	Q9VN13	CG11739	14.657936	21.208845
127	3R	+	4378925	4381210	FBtr0078915	7	1320	Q9VN13	CG11739	19.519674	28.243387
128	3R	+	4379307	4381210	FBtr0078916	6	1378	Q9VN13	CG11739	1.566834	2.267082
129	3R	+	4381306	4387018	FBtr0078917	8	4742	Q9VN14	Cont	0.000000	0.000000
130	3R	+	4387742	4389813	FBtr0302338	2	2006	P22812	tub	0.000000	0.000000
141	3R	-	4398381	4400009	FBtr0344215	3	1508	Q9VN19	CG9853	17.251604	24.961674
142	3R	-	4398558	4400009	FBtr0078949	3	1331	Q9VN19	CG9853	19.545769	28.281141
143	3R	-	4398558	4402027	FBtr0113192	4	1818	Q9VN19	CG9853	0.000000	0.000000
155	3R	-	4429798	4433895	FBtr0346646	4	3892	Q9VN25	eIF3-S10	62.875160	90.975266
156	3R	-	4429917	4433895	FBtr0078944	4	3773	Q9VN25	eIF3-S10	71.326645	103.203880
158	3R	-	4436222	4437164	FBtr0346735	1	943	Q9VN27	CG9804	10.265111	14.852783
